Extractor,UserAgent,Permission,Original,ExtractedUrl
robots.txt,*,Disallow,Disallow: /a=172/,https://runescape.com/a=172/
robots.txt,*,Disallow,Disallow: /a=173/,https://runescape.com/a=173/
robots.txt,*,Disallow,Disallow: /a=174/,https://runescape.com/a=174/
robots.txt,*,Disallow,Disallow: /a=175/,https://runescape.com/a=175/
robots.txt,*,Disallow,Disallow: /a=176/,https://runescape.com/a=176/
robots.txt,*,Disallow,Disallow: /a=177/,https://runescape.com/a=177/
robots.txt,*,Disallow,Disallow: /a=178/,https://runescape.com/a=178/
robots.txt,*,Disallow,Disallow: /a=179/,https://runescape.com/a=179/
robots.txt,*,Disallow,Disallow: /a=180/,https://runescape.com/a=180/
robots.txt,*,Disallow,Disallow: /a=181/,https://runescape.com/a=181/
robots.txt,*,Disallow,Disallow: /a=182/,https://runescape.com/a=182/
robots.txt,*,Disallow,Disallow: /a=183/,https://runescape.com/a=183/
robots.txt,*,Disallow,Disallow: /a=184/,https://runescape.com/a=184/
robots.txt,*,Disallow,Disallow: /a=185/,https://runescape.com/a=185/
robots.txt,*,Disallow,Disallow: /a=186/,https://runescape.com/a=186/
robots.txt,*,Disallow,Disallow: /a=187/,https://runescape.com/a=187/
robots.txt,*,Disallow,Disallow: /a=188/,https://runescape.com/a=188/
robots.txt,*,Disallow,Disallow: /a=189/,https://runescape.com/a=189/
robots.txt,*,Disallow,Disallow: /a=190/,https://runescape.com/a=190/
robots.txt,*,Disallow,Disallow: /a=191/,https://runescape.com/a=191/
robots.txt,*,Disallow,Disallow: /a=192/,https://runescape.com/a=192/
robots.txt,*,Disallow,Disallow: /a=193/,https://runescape.com/a=193/
robots.txt,*,Disallow,Disallow: /a=194/,https://runescape.com/a=194/
robots.txt,*,Disallow,Disallow: /a=195/,https://runescape.com/a=195/
robots.txt,*,Disallow,Disallow: /a=196/,https://runescape.com/a=196/
robots.txt,*,Disallow,Disallow: /a=197/,https://runescape.com/a=197/
robots.txt,*,Disallow,Disallow: /a=198/,https://runescape.com/a=198/
robots.txt,*,Disallow,Disallow: /a=199/,https://runescape.com/a=199/
robots.txt,*,Disallow,Disallow: /a=200/,https://runescape.com/a=200/
robots.txt,*,Disallow,Disallow: /a=201/,https://runescape.com/a=201/
robots.txt,*,Disallow,Disallow: /a=202/,https://runescape.com/a=202/
robots.txt,*,Disallow,Disallow: /a=203/,https://runescape.com/a=203/
robots.txt,*,Disallow,Disallow: /a=204/,https://runescape.com/a=204/
robots.txt,*,Disallow,Disallow: /a=205/,https://runescape.com/a=205/
robots.txt,*,Disallow,Disallow: /a=206/,https://runescape.com/a=206/
robots.txt,*,Disallow,Disallow: /a=207/,https://runescape.com/a=207/
robots.txt,*,Disallow,Disallow: /a=208/,https://runescape.com/a=208/
robots.txt,*,Disallow,Disallow: /a=209/,https://runescape.com/a=209/
robots.txt,*,Disallow,Disallow: /a=210/,https://runescape.com/a=210/
robots.txt,*,Disallow,Disallow: /a=211/,https://runescape.com/a=211/
robots.txt,*,Disallow,Disallow: /a=212/,https://runescape.com/a=212/
robots.txt,*,Disallow,Disallow: /a=213/,https://runescape.com/a=213/
robots.txt,*,Disallow,Disallow: /a=214/,https://runescape.com/a=214/
robots.txt,*,Disallow,Disallow: /a=215/,https://runescape.com/a=215/
robots.txt,*,Disallow,Disallow: /a=216/,https://runescape.com/a=216/
robots.txt,*,Disallow,Disallow: /a=217/,https://runescape.com/a=217/
robots.txt,*,Disallow,Disallow: /a=218/,https://runescape.com/a=218/
robots.txt,*,Disallow,Disallow: /a=219/,https://runescape.com/a=219/
robots.txt,*,Disallow,Disallow: /a=220/,https://runescape.com/a=220/
robots.txt,*,Disallow,Disallow: /a=221/,https://runescape.com/a=221/
robots.txt,*,Disallow,Disallow: /a=222/,https://runescape.com/a=222/
robots.txt,*,Disallow,Disallow: /a=223/,https://runescape.com/a=223/
robots.txt,*,Disallow,Disallow: /a=224/,https://runescape.com/a=224/
robots.txt,*,Disallow,Disallow: /a=225/,https://runescape.com/a=225/
robots.txt,*,Disallow,Disallow: /a=226/,https://runescape.com/a=226/
robots.txt,*,Disallow,Disallow: /a=227/,https://runescape.com/a=227/
robots.txt,*,Disallow,Disallow: /a=228/,https://runescape.com/a=228/
robots.txt,*,Disallow,Disallow: /a=229/,https://runescape.com/a=229/
